area_eng,area,tag,bv_id,title,view,duration,danmaku,reply,favorite,coin,share,like,author_uid,author_name
Domestic Original,国创相关,国产原创相关,BV1ua41147nu,蓝弧对于国产动画来说！到底是什么样的存在？,1294553,101,660,796,11334,1362,296,96768,677139412,咕噜一口小三胖
Domestic Original,国创相关,国产原创相关,BV1FY4y1x7pw,播放破2000w！正反派光速同居，这部国漫承包了我一整个季度的蚌埠！,918973,366,556,651,13083,7208,268,57207,383053366,白鱼Sakana
Domestic Original,国创相关,国产原创相关,BV1Ri4y1Q7jN,大战将起！三师兄的除魔修道之路！《凡人修仙传》44集逐帧解析,208556,583,967,1847,1417,7019,233,21563,7946432,利维坦mY
Domestic Original,国创相关,国产原创相关,BV1n3411H75q,离大谱！连开心宝贝都敢盗版的超低创动画--花花使者【周余】,248798,287,836,636,1901,1311,98,16299,237844904,不知所措的周余
Domestic Original,国创相关,国产原创相关,BV1nF41137Ki,《火影熊出没》  背负熊影之名，我不能输！！,143345,77,159,125,4706,1737,725,9655,1941934176,龙鸣剪辑a
Domestic Original,国创相关,国产原创相关,BV1kL4y1T7o7,继《吞噬星空》停播之后，《斗罗大陆》也出事了，网友：“老坛酸菜”后劲真大,1728468,128,23,129,1853,258,12,1237,326079636,小琦来了
Domestic Original,国创相关,国产原创相关,BV1mY4y1q7EF,【万圣街动画】增进感情的夏日棒球派对来啦~,142905,76,204,325,1856,396,143,15257,32741563,非人哉工作室
Domestic Original,国创相关,国产原创相关,BV1qu411i7NZ,这阵容怎么输？！！,208267,142,218,311,677,123,26,10545,134972891,仞之下_仞下
Domestic Original,国创相关,国产原创相关,BV1uf4y1F7zK,熊出没中的细节和彩蛋,2785795,69,114,60,3740,153,31,16827,1676190234,至尊晨轩
Domestic Original,国创相关,国产原创相关,BV1m94y1o7Ub,“木秀于林风必摧之！这个道理你懂了吗！？“【一人之下】,177002,138,96,160,2047,388,66,12733,483906881,会长大人耶
Anime,动画,综合,BV1xa41147Q4,独角,1239089,182,746,3501,92192,109962,6446,154976,451076763,UnicornPhantom
