area,tag,bv_id,time,title,duration,view,danmaku,reply,favorite,coin,share,like,author_uid,author_name,author_follower,width,height,landscape
家居房产,"生活改造计划·第二期,生活改造计划,生活,自制,原创",BV1ER4y1V73c,2022-03-10 18:00:14,做了一个能让自己慢慢变勤劳有仪式感的钥匙支架,338,4067812,16626,4237,7132,35373,4073,215061,280793434,手工耿,6339431,1920,1080,N
家居房产,"生活改造计划·第二期,生活改造计划,家庭卫生管理师,解压,家政,保洁,卫生",BV19Y4y1q7oD,2022-03-30 12:27:58,房租一人一半，凭什么卫生我全包？你有这样的奇葩室友吗？,305,3934215,2498,4502,10671,4429,3244,51363,1115510475,游呵家庭卫生管理师,340937,2560,1440,N
家居房产,"装修,打卡挑战,生活改造计划,生活改造计划·第二期",BV12S4y1u7HK,2022-03-18 10:49:02,没看完就已经生气了！,122,3892938,1104,1403,22064,1431,3896,172203,39800775,付贵儿搞装修,223239,1080,1920,Y
家居房产,"装修过程中我们踩过的那些坑,必剪创作,家居,装修,交房,精装修,沉浸式,家装,室内装修",BV1bu411B7uE,2022-03-12 19:00:03,【沉浸式交房】开发商，你睡了吗？我睡不着,182,2985363,6114,4927,21248,9267,42769,202853,12680472,司小玄,2895,1080,1920,Y
家居房产,"吐槽,生活,搞笑,室内设计,装修,家居,住范儿,避坑,居家生活小妙招,鉴定网络热门视频,生活改造计划·第二期",BV18Y4y1v7j7,2022-04-01 17:00:00,浴缸穿透楼板、阳台魔改泳池，牛顿棺材板压不住了！,828,2836868,5389,1237,18118,12483,4678,93245,454560170,住范儿,1529201,1920,1080,N
家居房产,"生活改造计划·第二期,改造前后，判若两屋,家居,装修",BV1bi4y1Q7jQ,2022-03-30 18:30:14,成都小两口被中介忽悠，买到水井一样的房，花25万装成别墅,167,2705247,903,1791,15316,5237,1577,108820,1576915270,橙熟的设计,148708,1920,1080,N
家居房产,"跟着UP主创作吧（第三期）,记录生活的美好幸福时刻,90后,情侣,装修,智能家居",BV1zL411w7JF,2022-03-19 14:46:19,90后情侣的婚房，自己动手砸一砸就装好了,12,2460739,254,803,31511,1826,5275,167192,1765957240,之一家,7006,1080,1920,Y
家居房产,"生活改造计划·第二期,生活改造计划,家装,家居,家装设计,改造,生活记录",BV1bq4y1v7gH,2022-03-20 22:42:28,第一次装修总会有后悔的事，当个参考，别踩坑！！！,80,2410242,654,675,31379,1300,2829,103459,599427768,嘟嘟他小姨,19683,1080,1920,Y
家居房产,"室内设计,门,家装,生活记录,踢脚线,生活改造计划,生活改造计划·第二期",BV193411H7i9,2022-04-05 21:32:55,大可不必的无框门,385,2401226,7760,6766,20520,44927,31822,135859,1519547765,罗兰朵,139904,1920,1080,N
家居房产,"生活改造计划·第二期,生活改造计划,家装,瓦工验收,家装设计",BV1vZ4y1z7At,2022-03-16 20:55:35,瓷砖验收怕被坑？看看老瓦匠如何做瓷砖验收的，学会了装修公司都怕你！,72,2000225,129,606,40144,2212,2397,81378,1925770102,懂装修,53278,1080,1920,Y
家居房产,生活记录,BV1e44y1K7fj,2022-03-11 20:09:30,终于可以拥有一个可以种菜养花的院子,46,1909852,581,1030,6657,841,2080,39690,358269830,雅雅和橘子姐,118819,1920,1080,N
家居房产,"吐槽,揭秘,家居,室内装修,装修避坑,打卡挑战,地产家居,鉴定网络热门视频,生活改造计划",BV1wu411q7Cd,2022-03-21 19:39:32,打假300万粉的装修营销号，12个孩子一间房。鉴定网络热门装修视频,33,1874144,709,1639,8736,686,4461,71600,603841071,室内设计师-梁正,92405,1080,1920,Y
家居房产,"吐槽,租房,房东,生活记录,Vlog,今年315，你在关注什么？",BV12L4y1T7bp,2022-03-14 14:46:12,Vlog丨年轻人就是刚……我把套路我的房东告上了法庭,319,1772445,1454,2673,31674,15674,3986,102928,14691422,陈千千Claire,16319,1920,1080,N
家居房产,"生活改造计划·第二期,生活改造计划,打卡挑战,房子,租房,生活记录",BV1H44y1T7Ud,2022-03-16 18:12:49,租来的房子不要轻易拆房顶，贵到心痛！,80,1535777,554,897,1799,1342,187,19856,358269830,雅雅和橘子姐,118819,1920,1080,N
家居房产,"生活改造计划·第二期,生活改造计划,家居,装修,日本,房子,日本留学",BV1YZ4y1B7xM,2022-03-24 18:24:13,大阪46平精致的小房子，它是一个回型楼，风景超级好~,171,1515066,1815,2567,8734,522,2155,52181,1075555775,在日本当房东的小李,39298,1080,1920,Y
家居房产,"吐槽,搞笑,室内设计,装修,家居,装修避坑,打卡挑战,鉴定网络热门视频,生活改造计划",BV12S4y1u7oj,2022-03-17 17:55:11,打假300万粉的装修营销号，阳台做泳池损人利己。鉴定网络热门装修视频,100,1502162,971,1287,6838,760,1839,81038,603841071,室内设计师-梁正,92405,1080,1920,Y
家居房产,"生活改造计划·第二期,生活改造计划,家居,装修,ROOMTOUR,生活,日常,vlog,室内设计",BV1d3411576d,2022-03-13 23:17:44,Roomtour｜90后丁克情侣的154㎡快乐屋｜二人四猫生活,757,1487343,3396,3445,65444,37831,31379,69289,283811493,Moggy的三色杯,99801,1920,1080,N
家居房产,"人生处处有惊喜,打卡挑战,生活记录,家装,家居,升降衣架",BV1kY4y1s7Pn,2022-03-27 15:10:00,再见吧，升降衣架,210,1475657,4754,2956,8737,16643,8332,77495,1519547765,罗兰朵,139906,1920,1080,N
家居房产,音响,BV1Ji4y1C7RZ,2022-03-12 19:18:47,蓝牙音响假付款，男子绞尽脑汁骗烟钱，结局很舒适……（来源：钦州检察）,21,1473684,31,347,3723,37,583,98112,525907485,广州普法,61207,720,1280,Y
