bv_id,title,message,time,like,uid,name,sex,level,vip
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,居然没有行秋的九天雷霆双脚蹬[虎年],2022-03-24 18:49:52,9055,103510874,麦当不止于此,保密,5,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,就你乱动我DNA是吧[热词系列_知识增加][热词系列_锤],2022-03-24 20:30:59,3952,519528064,鲜丰水果官方,保密,5,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,谢谢你up主，早已经是RNA的形状了[灵魂出窍],2022-03-25 11:22:25,2823,14829832,ZMI紫米,女,6,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,没有九天雷霆双脚蹬不是很认可[doge][doge][doge],2022-03-24 15:45:46,2133,7654236,一个坑是坑,保密,5,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,最后那一声奥利给属实蚌埠住了[喜极而泣],2022-03-24 18:27:58,998,342001334,_Chicken_,男,5,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,这波是DNA打结了[藏狐],2022-03-25 13:05:13,990,517461175,招商银行信用卡,保密,6,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,这么好看怎么不火呢[音律联觉_看手机],2022-03-24 10:01:45,773,513854688,泣羽-i,保密,4,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,up，你还记得吗？上次我们一起去须弥教令院偷书，巡防来了，您一下子坐在了神像底座上，我也学您，结果只有我被抓了起来[狗子],2022-03-24 19:03:19,597,148854984,明媒正娶我就嫁,保密,5,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,"一个唯物的错误[doge]
DNA 脱氧核糖核酸 双螺旋结构
RNA 核糖核酸 单螺旋结构
所以DNA裂开后还要氧化才能变成2条RNA",2022-03-25 07:56:08,353,295235386,虞骐菌,男,4,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,我预测下一期果宝特攻技能预定[歪嘴],2022-03-24 10:39:52,307,224856304,绿吕榈率旅捋,男,5,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,黄金王兽的黄金大狗旋风，寂地沙尘暴[doge],2022-03-24 19:45:36,106,108916830,長門_Yuki,保密,5,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,加油！绿化环境真的就靠你了,2022-03-24 10:03:51,93,1104350632,空白某某,男,4,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,这须弥还没到呢，怎么就出现草元素的旅行者[doge],2022-03-24 22:28:42,53,388248276,岩神天星,男,5,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,好家伙，一个个的技能这么炫，怎么到爷这就拉了[辣眼睛],2022-03-24 23:33:08,49,315279525,天青牙鬼,男,5,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,DNA变RNA，你裂开了对吧[doge],2022-03-24 18:37:11,41,1232051656,在下小云,男,3,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,是不是少了个QQ雷兜王的“狂雷金刚拳”[妙啊][妙啊][妙啊],2022-03-26 20:16:42,36,380931033,貞妍,男,5,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,"唯一一个让我笑到不行的不是视频里面的而是
“闪电↗五连鞭！”哈哈哈哈[笑哭][笑哭]",2022-03-25 00:26:14,29,479634001,Micawberism-泽,保密,5,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,我的DNA给你创……碎……了[tv_大哭][tv_大哭][tv_大哭],2022-03-24 20:27:21,24,344161365,皮皮楠99,男,4,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,草!谁特么教你这么剪的[疑惑][笑哭],2022-03-25 00:32:39,19,17066396,不萌的Romon,男,5,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,剪得很好下次别剪了[doge],2022-03-24 21:49:40,22,352166042,O-肆,男,5,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,"总会有地上的生灵，敢于登上须弥的王座
遗迹狩猎者：草
低情商：草
高情商：草
硅基生物：草
碳基生物：草
低维生物：草
高维生物：草
人：草
┐（─__─）┌：草
→_→：草
d(ŐдŐ๑)：草
(&gt;﹏&lt;)：草
👴：草
👽：草
🤖：草
[doge]：草
[滑稽]：草
[tv_doge]：草
[tv_斜眼笑]：草
[热词系列_知识增加]：草
🌝：草
🌚：草
🌞：草
🇨🇳：草
🇺🇸：草
🇷🇺：草
🇬🇧：草
🇫🇷：草
🇿🇦：草
🇩🇪：草
🇯🇵：草
🇮🇹：草
🌏：草
🌸：草
🌱：草
🚌：草
CaO：草
操：草
曹：草
艹：草
屮：草
艸：草
草：我
丘丘人：gusha
草史莱姆：免疫",2022-03-24 10:02:26,2454,116113694,遗迹狩猎者,男,4,大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,想抽淋人的，分享点好东西给你康康[脱单doge]BV1TU4y1o7eG,2022-03-24 17:58:22,28,1725505265,是胡桃也,保密,2,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,嗨害害我来了昂[doge],2022-03-24 10:09:54,11,662458379,小保底必歪肘莫办,男,2,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,[辣眼睛]观众让你创新，我让你创死,2022-03-24 22:41:00,39,1946551007,异水瓶,保密,2,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,奥利给属实是难蚌,2022-03-24 23:17:21,35,16426041,FrequentlyZ,保密,5,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,真他妈的是人能剪出来的[辣眼睛],2022-03-24 19:53:50,32,35449546,丶TKOM丶,保密,5,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,"好家伙，再这么剪，
，
，
，
，
就要被剪烂了",2022-03-24 19:06:05,30,6826700,创世中二,男,6,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,求求你别再创了，我已经被创成八裂了[辣眼睛][辣眼睛][辣眼睛],2022-03-24 12:12:46,33,251053618,北白川菲子,保密,5,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,哼，想逃？,2022-03-24 23:07:53,11,263168,SucyOfficial,女,5,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,he tui[喜极而泣],2022-03-24 22:11:15,26,3556357,百万特效王,男,6,年度大会员
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,没有恶臭我不允许[藏狐],2022-03-24 20:02:37,28,1490641583,卑微qd学生党,保密,2,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,我看到激励计划，反正就是一个踩[doge],2022-03-24 19:48:46,31,1888054964,一个不出五星的屑,男,3,
BV1HS4y1N7Gh,【原神】好家伙! 再这么剪下去，我的DNA要变成RNA了!,完了，以后雷神开大都变成闪电旋风劈了，完了完了,2022-03-24 23:31:44,8,315839083,西门吹水_丶,保密,5,
