bv_id,title,message,time,like,uid,name,sex,level,vip
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,狙击手这么容易被外界干扰，在实战中可以立马到二次元,2022-04-09 14:17:11,25819,226980353,o一颗栗子o,保密,6,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,"小科普：
这位实际上是srt小队的狙击手，霞泽美游，属于纤细敏感但容易出乱子的笨蛋性格。
因为自身存在感实在太低了所以被选中成为狙击手，虽然这份天赋让她可以非常轻松的掩盖自己的气息，但是也时常有意外发生，比如训练完了因为存在感实在太低了被教练忘记直接被丢在训练场啦，因为存在感太低了电动门都不自动打开啦，因为完全不被他人注意到所以经常被走过的路人撞到啦。。。似乎只能被动物和游戏主角主动注意到。
舍不得离开srt小队的原因之一就是小队成员会定期寻找她来加强她的存在感，不至于被众人遗忘。",2022-04-12 01:49:30,13508,35894645,博丽四季,男,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,我直接一个箭步冲上去抓住她的狙击镜，然后疯狂的转她的旋钮,2022-04-10 00:38:27,10657,298299805,SO2_烂神,保密,4,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,这个我看过，她瞄准镜里的就是肯尼迪😄😄😄,2022-04-12 23:34:52,5280,62046875,训练有素的医生,男,5,大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,从麻雀的外形来看，腮上有黑点，这是一只树麻雀，在我国大部分地方都有分布，是一种很常见的麻雀，另外我国常见的麻雀还有家麻雀这一种，你问我为什么在看麻雀，因为麻雀很可爱，而我很正直[脱单doge],2022-04-09 13:58:51,9666,162706774,逸阳旨,男,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,非常好游戏，可爱的幼小女孩有一些性感的移动，上传更多，爱来自基沃托斯，英雄联盟,2022-04-08 12:22:04,8463,299927667,奉天好果子株式会社,保密,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,非常坏工作，请停止上传大山雀与幼小女孩的影响，很多人类正受伤害因为😑👎,2022-04-08 17:27:03,6277,168858090,辣的甜条,保密,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,运动鞋配厚白丝🤤🤤🤤,2022-04-08 17:12:43,3707,352183885,还是阿萨姆奶茶吧,男,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,嗯？你这是狙击手的姿势？手肘给我顶好了！手别乱晃！还有这什么头饰和衣服，一点也不隐秘！岂可修，眼睛瞄准好啊！两只眼睛都睁是在看什么？还有这个白...呃不是，叶子多覆盖点....啧看不下去了，你先别动，在什么地方我马上过去帮你换装[doge],2022-04-08 20:53:07,3950,353818346,傲娇的土元素,保密,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,狙击手遇到任何情况都不能乱动是吧[妙啊],2022-04-09 01:20:09,1772,88234127,一只雨丶,男,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,小鸟不啄一下不真实,2022-04-08 22:55:50,938,349828017,lllIIIlIIIl,男,5,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,你疯狂按音量减少键的样子真的很狼狈,2022-04-11 13:23:37,780,1232153248,原神爱妻屋,保密,4,大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,"炮手：我说，车长，对面亮晶晶的是啥玩意[doge]
车长：要不你上一发HE打一下看看？[doge]",2022-04-09 07:59:56,883,9101374,萌芽天猫,保密,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,"你这是在瞄准的姿势吗！眼睛不要忘别处看！不要东张西望！肢体不要乱动！
你这是认真狙击的姿势吗！重来！（振声）",2022-04-09 15:02:20,586,91279498,the-star,男,5,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,在核吧下一瞬间就是子弹穿过瞄准镜了[微笑],2022-04-09 23:33:20,783,33450311,徐若风欣,保密,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,你这狙击莫辛纳甘怎么是直栓的啊，这拉不开的会打到瞄准镜的啊[笑哭]而且莫辛纳甘装了PU-3.5x镜挡住了抛壳口是没法用弹夹装弹的[笑哭],2022-04-08 22:52:08,763,362876499,红雕-梅枫,男,5,大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,话说小拉姬为什么突然火了？甚至有up趁热做了引导新手的视频,2022-04-12 21:34:09,214,75570074,无碑文的暮扫,男,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,杠一下，这是一支莫辛纳甘步枪，看前准心护翼和圆形机匣是芬兰系的M28（M28以前的是六棱机匣和没有护翼的秃准心），不过后面细节错误，直枪闩会被PU瞄准镜阻挡导致无法运作，且PU瞄准镜在更换不同射击环境后需要校准，完全用布蒙住手轮会导致操作不方便，另外，7.62*54是凸缘弹而不是无缘弹，桥夹是后半包围桥夹而不是片状桥夹,2022-04-12 22:35:08,173,92984853,米哈伊尔-缅因,男,5,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,从刺刀支架和枪管的长度看这应该是一支莫辛纳甘1907carabine，搭配的应该是一支PU瞄准镜（被裹住了看不到大概型号），手边是保罗式望远镜，（是指保罗式构造，具体型号不明）身后是一支处于空仓挂机状态的格洛克g17还是19？为什么枪栓是直的？这会阻碍甚至无法完成退壳操作[捂脸]，为什么手枪要放在脚边，我想有经验的狙击手应该会把手枪放在手边或是身下，而不是脚边[辣眼睛]，总结下来就是图不错，但有严重的细节错误。,2022-04-12 23:06:46,84,331332747,-Oliv-,男,5,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,第二个ba百万视频，恭喜！[热词系列_好耶],2022-04-13 00:30:34,17,39740703,Spicastar猫猫头,男,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,太敏感了，看来私生活有点频繁[doge],2022-04-08 12:52:13,2380,350728330,陨石大爆炸,男,5,大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,别想了，档案不会上线国服的，师生恋加校园枪战，还都是铜，太快乐。。。咳咳，太棒了[阴险],2022-04-13 10:07:43,88,45626940,涩涩头子小春,男,6,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,众所周知，狙击手不会这么容易就被干扰的，所以把雀儿换成触手怪就合情合理了[doge],2022-04-22 12:45:30,15,11641576,夏娜的电风扇,男,6,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,半天不开枪肯尼迪都跑了（恼）,2022-04-15 18:51:34,53,1559567439,目力桑被,保密,3,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,蓝白鞋子白丝衣服蓝白配色兔耳朵完美戳中了我的xp[羞羞],2022-04-22 01:35:28,11,441143135,闲某人不近女色,男,5,大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,脚姿势不对，应该放我嘴里[傲娇],2022-04-07 23:27:39,824,1360437599,DG4E,保密,4,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,太棒了，全是铜（大雾）,2022-04-09 18:42:11,281,152382161,幻想乡扶贫专员,男,5,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,"看来大家似乎都对设定感兴趣的样子，那么我再补充一点好了。
美游从属于“srt学园”下的“rabbit小队”，代号为rabbit3，除了她以外小队还有其他三个人，因为知晓美游的特殊体质，所以其他人对她都很是照顾，会时不时的寻找她来加强她的存在感。
其他三人分别是代号为rabbit1的雪月宫子，担任突击手与队长职务；代号rabbit2的空井咲，担任空中支援职务；以及负责后勤任务的炸弹狂人风仓萌绘。
小队实力相当强悍，因为srt部队作为特殊作战部队全部配有最新型号的武器和装备加上本身训练素质很高所以武德充沛的爆棚，一般的敌人拿她们基本一点办法没有。在srt学园被废校后rabbit小队主动来到公园抗议，负责维护城市治安的瓦尔基里学园带领部队对她们进行了数次围剿，结果都大败而归，4个人愣是揍跑了几百人的部队。
结果后面被游戏主角，也就是老师带着两个半吊子民警从后山摸上了营地，因为老师轻松发现了负责监视但不擅长近身战的美游，所以小队被瓦尔基里全部擒获。",2022-04-13 22:15:43,59,35894645,博丽四季,男,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,这个cv配过小黄油，配过凉宫春日里面的朝比奈学姐,2022-04-13 15:40:19,42,31712702,゛Yuki,保密,6,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,这么可爱的妹子，被爆头肯定会一声不吭吧[doge],2022-04-08 23:26:01,179,442188723,章北海的破壁人史铁生,男,5,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,目前，据新华社报道，碧蓝航线和碧蓝档案的战斗已持续了近2个月，这是一场大规模的登陆作战，碧蓝航线方面有着强大的火力支援，同时还有强大的登陆（15秒即可进入游戏）能力（战舰在陆地上面走），碧蓝档案方面正试图用她们的小水管雨对方的127、130、140、150、152、155、180、200、203、210、220、283、304、305、356、380、381、406、410、460、510等型号的枪械战斗，我们正在等待中立者碧蓝幻想方面的战地记者做进一步的报道。,2022-04-14 10:55:55,17,542080743,绫波爱大狗,保密,4,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,长痔疮了？这么敏感,2022-04-14 04:38:34,14,3403253,灭魂大帝,保密,6,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,速通理塘跑到美游这了🥵,2022-04-12 05:31:09,28,12539596,猕猴桃泡面,保密,5,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,"温馨提示
    各位想去打暑假工的朋友们
    这种行为足够你们死十次以上
         ？  
    你以为她怎么到二次元的",2022-04-13 21:12:35,8,86506626,AYAUL,保密,4,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,xdm，我听到那边有人嚷嚷，直接把机枪拽过去火力压制了，你们说我做的对吗？[doge],2022-04-13 06:08:16,6,349098367,鸡腿药丸,保密,5,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,都起开，我是收垃姬的,2022-04-17 14:23:55,17,172848352,贰拾肆-24---,男,5,年度大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,话说这样架枪不会把锁骨给打断吗,2022-04-15 01:23:36,7,362973103,里昂桑德斯sama,保密,5,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,大家不用太在意她那低下的抗干扰能力了，她要真的合格也不会传到二次元。[OK],2022-04-13 20:27:16,9,499364948,Cryptovolans杨,男,4,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,"碧蓝航线:再大点，再大点[星星眼]
碧蓝档案:再小点，再小点[给心心]",2022-04-08 19:11:10,1483,33400096,艾斯佳斯由,保密,6,大会员
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,狙击手穿这身不出一分钟就被端了,2022-04-15 21:02:17,22,431574595,秋凌宇,男,5,
BV1aS4y117W7,垃姬桶里的小垃姬Miyu【2160P&60帧】,"我盯了两分钟也没看明白它这个镜是不是斜置的，不然不管是直枪栓，还是弹夹她都用不了啊，TNND为什么不开枪！GKD！我要看拉栓！让我康康！！
[doge][doge][妙啊]",2022-04-16 16:01:25,11,23760990,XSY炮灰羊,男,6,年度大会员
