bv_id,title,message,time,like,uid,name,sex,level,vip
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,我领教过他的微型青龙偃月。其一是“关公 拖刀”：刀背在顾客后颈处长长地一刮，刮 出顾客麻酥酥的一阵惊悚，让人十分享 受。其二是“张飞打鼓：刀口在顾客后颈 上弹出一串花，同样让顾客特别舒服。“双 龙出水也是刀法之一，意味着刀片在顾客 鼻梁两边轻捷地铲削。“月中偷桃”当然是 另一刀法，意味着刀片在顾客眼皮上轻巧 地刨刮。至于“哪吒探海更是不可错过的 一绝：刀尖在顾客耳朵窝子里细剔，似有 似无，若即若离，不仅净毛除垢，而且让 人痒中透爽，整个耳朵顿时清新和开阔， 整个面部和身体为之牵动，招来嗖嗖嗖八 面来风。气脉贯通和精血涌跃之际，待剃 匠从容收刀，受用者一个喷嚏天昏地暗， 尽吐五腑六脏之浊气。我领教过他的微型青龙偃月。其一是“关公 拖刀”：刀背在顾客后颈处长长地一刮，刮 出顾客麻酥酥的一阵惊悚，让人十分享 受。其二是“张飞打鼓：刀口在顾客后颈 上弹出一串花，同样让顾客特别舒服。“双 龙出水也是刀法之一，意味着刀片在顾客 鼻梁两边轻捷地铲削。“月中偷桃”当然是 另一刀法，意味着刀片在顾客眼皮上轻巧 地刨刮。至于“哪吒探海更是不可错过的 一绝：刀尖在顾客耳朵窝子里细剔，似有 似无，若即若离，不仅净毛除垢，而且让 人痒中透爽，整个耳朵顿时清新和开阔， 整个面部和身体为之牵动，招来嗖嗖嗖八 面来风。气脉贯通和精血涌跃之际，待剃 匠从容收刀，受用者一个喷嚏天昏地暗， 尽吐五腑六脏之浊气。,2022-04-04 14:36:50,54073,1380330734,Caudillovargase,保密,3,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,我记得没错的话，好像出了一部电影，是专门讲靖大爷,2022-04-02 18:45:32,32869,149282212,Eeruozy,保密,4,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,靖大爷在101岁时故世，已经离开8年了[微笑],2022-04-03 15:08:37,43559,32189102,逆商围墙,男,6,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,就喜欢大爷电影里的一句话：人呐，来干干净净的来，走也得干干净净的走。,2022-04-04 14:53:50,18402,43226290,低调灬墨迹,男,5,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,剃到最后已经不为了挣钱了，或许单纯就是想为他的老友们做点什么,2022-04-04 20:33:52,8387,348581097,很久很久以前__,保密,5,年度大会员
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,我之前在镇上发现了个理发店，又小又破，我临时起意去剪，他又刮胡又刮脸，弄得妥妥当当的，一问价钱，只要十块，我人都傻了。我们这边剪个头发最少15，还是随便弄弄的。现在剪发十块钱以下都是挣点辛苦钱而已，都是些老人家挣点手艺钱,2022-04-04 17:58:35,14292,40330313,混躺不止,保密,5,大会员
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,省流：国际知名王牌杀手一生用一把剃刀暗杀五百多人至今任逍遥法外。。镜头面前邪魅一笑：都死了，从京政要员到戏曲大碗。我刀下没用活人[歪嘴],2022-04-04 17:15:20,13583,453969558,f方向盘,保密,5,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,"提示：没错就是你想到的在初二或初三的阅读中的那篇文章《剃头匠》（或《青龙偃月刀》）
也是你想到的那部电影《剃头匠》的原型人物",2022-04-08 22:38:10,3739,2067424442,早睡晚起的霖桑,男,3,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,大爷c语言也不错，一口一个TMD，这种有趣的老头越来越少了，时间抹平了一切，也抹平了人那颗本不该甘于平凡的心，所以说这种老头真希望能多活几年，能多给后人留些不一样的故事,2022-04-04 00:15:14,4260,22548540,神罗emperor,保密,6,年度大会员
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,四大名角啊！！都齐活了！还不是被大爷剃死了[doge][滑稽],2022-04-05 03:11:21,2757,486881271,魔界法師Feii,保密,2,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,16绝的手艺，最后出品可能不能满足现在年轻人的审美，但这过程是绝对的舒坦，就跟刮刀刮脸上绒毛一样，清爽,2022-04-03 14:11:24,2090,404991729,细节决定小QE,男,5,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,99岁，烟不离手[吃瓜][吃瓜],2022-04-02 23:15:42,966,2050583193,落易在线,男,2,年度大会员
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,我外公就是剃头匠，也是把工作当爱好的那种，[藏狐]还上过几次当地报纸。,2022-04-08 19:38:25,950,351383536,春溪泛轻舟,男,5,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,那关公提刀只身入敌营，那翼德敲鼓听闻戈击声，那哪吒探海舞动三界灵，那镜花水月往来一场梦。,2022-04-08 15:30:40,895,2132383482,看到我请叫我去前进四,男,3,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,感觉我不像是看了部人物传记，而是看到了一个时代的变迁,2022-04-04 21:46:04,686,3085884,凋零的烟花丶,保密,5,年度大会员
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,[笑哭]我们这边还有哑巴，拐子会剃头，哑巴坚持一整套，刮面，修鼻毛，掏耳朵，洗头,2022-04-04 00:57:00,601,90657685,秦枫明月,保密,4,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,最可悲的是，我国自古有这门手艺，现在却都被外国的剪刀剃须刀所替代，没能好好传承下来该是我们要反思的,2022-04-08 16:58:28,585,351231867,静不下来_,保密,4,年度大会员
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,好家伙北京这话都一套一套的太亲切了从这位大爷到我爸这辈现在都还是这样,2022-04-08 22:36:43,149,105163844,确实是西部快枪手,男,5,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,放在古代，可以进史记吧,2022-04-02 23:25:33,278,323845813,一闪一闪杠晶晶,男,4,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,之前看一个漫画就叫剃头匠，他们人看到人头上的气运，给别人的气运抢走，然后自己运气特别好，干啥都顺。那个剃刀还能杀鬼，挺好看的一部漫画,2022-04-03 23:21:41,464,145242321,llz无名小卒,保密,4,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,"进来之前我还以为他用剃刀杀人
结果他用的竟然是时间",2022-04-04 16:50:28,3003,441058747,TX794TX,保密,3,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,让一位近百岁的老人给另一位即将离世的老人剃头，还有比这个更残忍的吗,2022-04-02 23:21:38,2406,323845813,一闪一闪杠晶晶,男,4,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,很久以前去安徽一个小镇旅游，头发长了想找个理发店。街道上发现了有几家，但是还是想转转看看景色，就继续逛着。在一个无人问津的小巷里发现了一个小店，房子是木头做的，门还是木头板的，里面有位年纪很大的老爷爷，佝偻着背。一个顾客都没有，我想着能给老人家带来点生意，就没有去别的店。原本就没打算让老人家太费功夫，只说随意剪短就行。老人家非常敬业，每一个动作都做的很仔细。工具也很简单，没有高级的设备。原本想着剪完洗洗头就好，没想到先是给我洗了一遍头，然后剪头发，然后又用小刀一点点修边，还有脸，眉毛，刮胡子（那个时候我还是青年，没有刮胡子的习惯）真的特别享受那种感觉。别的店20分钟就能剪个寸头，老爷爷用了3个小时。我记得好像只收了3块钱，心里过意不去，临走的时候，我给老爷爷鞠了一躬。,2022-04-09 14:20:51,312,40432587,只存在于一念,男,6,年度大会员
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,大爷这个说送走的是苦笑吧[热词系列_知识增加]好家伙鲁豫不用看了牙龈都笑出来了，她是发自内心的,2022-04-09 08:47:34,333,12224242,菟嗨,保密,6,
BV1fY4y1q7ze,老北京百岁剃头匠，声称剃死了四五百主顾，鲁豫听完后忍不住大笑,这老爷子已经不单单是个手艺人了。我觉着已经上升到灵魂摆渡人了。每天游走在不同客户之间，在他们生命中最后这段时间里度化他们，安抚着他们孤寂的心灵，让他们平静的离去。,2022-04-09 12:09:05,181,430889757,烤肉是只猫,保密,5,
