bv_id,title,message,time,like,uid,name,sex,level,vip
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,上次出租有感：其实一直抱怨环境是没有用的，事在人为，动手改变它，才能让自己开心。（绝对不要租隔音差的房子！！！！！）,2022-03-15 18:05:45,7037,295944982,考试有把握了吗,男,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,想起考研的时候，120一个月的单间，每天早七晚9，很充实,2022-03-15 18:14:53,3437,123615002,和花没有腿,保密,2,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,这期内容太好了啊,2022-03-15 18:09:17,2127,304441312,你好舒先生,保密,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,我还是选择右边吧[doge]毕竟有球球[脱单doge][脱单doge],2022-03-15 18:11:52,1589,1264410156,蓎半仙,男,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,大部分人其实介于这两者之间，刚开始也不会眼高手低，但也没啥上进心，工作也不挑，先干着，工资一个月够花，没钱往家里寄但也不会问家里要钱，上班的时候好好上，下班的时候就打打游戏，女朋友什么的完全随缘,2022-03-15 20:21:23,14807,20324597,正义的执行官,男,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,21岁毕业，工资1200 。23岁主管，工资1600。26岁跳槽升部门经理，工资3500。28-29岁，公司被收购，失业1年。30-35岁工作不稳定，工资4000-5000摇摆。36岁换了城市从头开始打拼，工资3500。38岁升经理，工资5000，40岁升副总，工资8000-10000，43岁升总，年薪20-30万。作为一个没什么能力学历也不够好的70后，一辈子就这么打拼过来，在网络上应该算是混挺差的，但是这是我真实的半生。,2022-03-16 13:32:42,7136,384135290,hardybj,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,和我这两年的经历很相似，刚开始在广州租房不敢找600以上的，自己也喜欢玩游戏，有段放假时间沉迷于游戏，没收入想着少吃少喝，各种节约，但对待工作时不能说名列前茅，但也勤勤恳恳的干着，每个月拿3-4K，后来主管提拔我做其他部门才通过自己前期努力第二个月就开始拿1W自己开始提升生活品质，后面提拔我的主管离职开公司，邀请我过去当经理，前期很难熬，每晚下班都在为公司绩效的事焦头烂额，熬了一个月公司绩效开始有起色，虽说很累单个人也提升了，我也开始拿2W，也找到了我另一把[热词系列_对象][doge]现在日子也开始慢慢好起来,2022-03-16 00:40:32,1361,519785412,GG一Bond一,保密,4,大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,来点真实的，在外地三千块钱一个月，除去吃住算你一个月存500，即使3年后涨到5000存2500，一年存3w，十年后35岁的你存了30w，然后结婚彩礼20w，老家房子70w，车子10w，其余支出就先不提，光上述这些东西就要100w，而这，还必须在你30岁前完成，35岁上述开销翻倍才有人愿意和你在一起。,2022-03-15 18:27:04,3183,7789027,_宇ai轩_,男,6,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,"[doge]看时间线，朱小明大概是7年前住在那（看他女儿）。朱小明7年前第一个月能转2k给他妈妈，说明他一个月大概能赚3K-4K，而王炸是大学生，现在找的工资3K。   7年前的3K跟现在的3K可不太一样哇。
说明了啥？[doge][doge][doge][doge]",2022-03-15 18:35:26,1487,5596983,一车大芒果,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,王炸是演的，而我是真的,2022-03-15 18:18:57,698,380623566,雪の夕,男,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,与其说是两段不同的人生，不如说是两个不同的时代。,2022-03-15 18:41:21,1546,509999371,HegumingPiao,保密,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,挺真实的，生活中大部分人都是朱小明，我身边的几十个同事都是这样，有人奋斗3年，有人奋斗5年，基本有了自己的小窝，结婚了，离开了出租屋，工作原因接触的各行业的人很多，但活成王炸这样，心比天高又毛都不会，天天自我麻醉的，我只遇到过一个，那人是我大学里的同学，还在厂里做小工程师，真就是和王炸一样天天打打麻将，天天混着，没有任何规划和行动，和他同去的两个同学一个提升自己学历做了厂长，另一个钻研技术跳槽到另一个好公司年薪20w多，还有就是真别笑人996，通讯录里各行各业的那么多人，996工作的真不多，也没多少人是真996，大部分都是摸鱼划水的[滑稽]，别人都聪明的很，只有天天真把公司当自己家天天拼命的才会猝死，而且这些996的个个工资是我的1.5倍到2.5倍，实际上小明不会996猝死，王炸更不会有什么反转,2022-03-16 20:57:09,569,30893261,浪里个浪嗨嗨嗨,保密,6,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,左边👈🏻的态度，右边👉🏻的结果。我也搞不懂自己错在哪里了[无语][无语][无语]想点赞，但是点不下手，虽然知道这只是个剧本。[难过],2022-03-16 07:57:16,387,99421441,鲜奶橙汁,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,努力才有回报，这个是肯定的，没有努力哪来的回报，28岁我到扬州，带了800块钱，找了份工作，2500一个月，9年后，就是今天，现在年收入16万，房子买在市区，车也买了，装修花了40万，不过没结婚，因为没钱结婚，贷了160万的款，感谢社会，感谢身边所有人！,2022-03-15 19:09:19,393,96931276,妄图思锐佛,保密,5,年度大会员
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,我刚毕业住过棺材房暗无天日[笑哭]经过我爸妈的不懈努力，我终于有自己的大房子了[给心心],2022-03-15 18:32:54,335,303992961,奇奇怪怪的一颗,女,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,“没有任何一个人小时候的梦想是买一套房子”,2022-03-15 22:42:34,330,333510862,失足少年凉二狗,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,[无语][无语]大多数人处在中间那条分界线上,2022-03-15 18:11:24,160,173849814,聂莫黎保护协会,保密,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,两边真是写出了当年刚毕业的场景，干着左边的事情，最后确实右边的结局，焯！！！！,2022-03-16 12:48:32,145,138690261,断水流大师兄ii,男,4,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,我一月3200，住公司安排的寝室，三人住，水电费平摊一人三四十，算它五十，早餐五块，午餐公司，晚餐自己做十块左右，算他一天吃二十块，一周就140，算150吧，一个月四周差不多，就650，算他七百，然后三百自己看着用，就还剩2200，一开始添置各种生活用品做菜啥的废钱，然后电瓶车一千块钱，然后省省钱，这小生活活的还是挺滋润的（欢迎各位补充我没想到的）,2022-03-15 19:00:41,118,203331754,略小宅,男,5,
BV1ML4y1M7v7,陈翔六点半：有人在这流浪，有人在这成长,相同的路。。可是为啥他们都有女朋友,2022-03-15 18:07:20,1086,21124794,夏季星空音,保密,5,
